Dates,Values
1940-01-01 00:00:00,0.101
1940-01-02 00:00:00,0.12
1940-01-03 00:00:00,0.12
1940-01-04 00:00:00,0.12
1940-01-05 00:00:00,0.12
1940-01-06 00:00:00,0.117
1940-01-07 00:00:00,0.11
1940-01-08 00:00:00,0.11
1940-01-09 00:00:00,0.11
1940-01-10 00:00:00,0.11
1940-01-11 00:00:00,0.11
1940-01-12 00:00:00,0.11
1940-01-13 00:00:00,0.11
1940-01-14 00:00:00,0.1
1940-01-15 00:00:00,0.1
1940-01-16 00:00:00,0.1
1940-01-17 00:00:00,0.1
1940-01-18 00:00:00,0.13
1940-01-19 00:00:00,0.159
1940-01-20 00:00:00,0.1
1940-01-21 00:00:00,0.093
1940-01-22 00:00:00,0.09
1940-01-23 00:00:00,0.09
1940-01-24 00:00:00,0.09
1940-01-25 00:00:00,0.09
1940-01-26 00:00:00,0.09
1940-01-27 00:00:00,0.097
1940-01-28 00:00:00,0.093
1940-01-29 00:00:00,0.09
1940-01-30 00:00:00,0.094
1940-01-31 00:00:00,0.108
1940-02-01 00:00:00,0.083
1940-02-02 00:00:00,0.089
1940-02-03 00:00:00,0.105
1940-02-04 00:00:00,0.104
1940-02-05 00:00:00,0.081
1940-02-06 00:00:00,0.089
1940-02-07 00:00:00,0.08
1940-02-08 00:00:00,0.082
1940-02-09 00:00:00,0.123
1940-02-10 00:00:00,1.108
1940-02-11 00:00:00,0.081
1940-02-12 00:00:00,0.08
1940-02-13 00:00:00,0.08
1940-02-14 00:00:00,0.08
1940-02-15 00:00:00,0.079
1940-02-16 00:00:00,0.078
1940-02-17 00:00:00,0.072
1940-02-18 00:00:00,0.07
1940-02-19 00:00:00,0.07
1940-02-20 00:00:00,0.07
1940-02-21 00:00:00,0.07
1940-02-22 00:00:00,0.07
1940-02-23 00:00:00,0.07
1940-02-24 00:00:00,0.07
1940-02-25 00:00:00,0.07
1940-02-26 00:00:00,0.07
1940-02-27 00:00:00,0.07
1940-02-28 00:00:00,0.07
1940-02-29 00:00:00,0.073
